Sample Name,Sequence,Dilution Factor (%)
SRD01,01,1.0
SRD02,02,1.0
SRD03,03,1.0
SRD04,04,1.0
SRD05,05,1.0
SRD06,06,1.0
SRD07,07,1.0
SRD08,08,1.0
SRD09,09,1.0
SRD10,10,1.0
SRD11,11,10.0
SRD12,12,10.0
SRD13,13,10.0
SRD14,14,10.0
SRD15,15,10.0
SRD16,16,10.0
SRD17,17,10.0
SRD18,18,10.0
SRD19,19,10.0
SRD20,20,10.0
SRD21,21,20.0
SRD22,22,20.0
SRD23,23,20.0
SRD24,24,20.0
SRD25,25,20.0
SRD26,26,40.0
SRD27,27,40.0
SRD28,28,40.0
SRD29,29,60.0
SRD30,30,60.0
SRD31,31,60.0
SRD32,32,80.0
SRD33,33,80.0
SRD34,34,80.0
SRD35,35,80.0
SRD36,36,80.0
SRD37,37,100.0
SRD38,38,100.0
SRD39,39,100.0
SRD40,40,100.0
SRD41,41,100.0
SRD42,42,100.0
SRD43,43,100.0
SRD44,44,100.0
SRD45,45,100.0
SRD46,46,100.0
SRD47,47,1.0
SRD48,48,1.0
SRD49,49,1.0
SRD50,50,1.0
SRD51,51,1.0
SRD52,52,1.0
SRD53,53,1.0
SRD54,54,1.0
SRD55,55,1.0
SRD56,56,1.0
SRD57,57,10.0
SRD58,58,10.0
SRD59,59,10.0
SRD60,60,10.0
SRD61,61,10.0
SRD62,62,10.0
SRD63,63,10.0
SRD64,64,10.0
SRD65,65,10.0
SRD66,66,10.0
SRD67,67,20.0
SRD68,68,20.0
SRD69,69,20.0
SRD70,70,20.0
SRD71,71,20.0
SRD72,72,40.0
SRD73,73,40.0
SRD74,74,40.0
SRD75,75,60.0
SRD76,76,60.0
SRD77,77,60.0
SRD78,78,80.0
SRD79,79,80.0
SRD80,80,80.0
SRD81,81,80.0
SRD82,82,80.0
SRD83,83,100.0
SRD84,84,100.0
SRD85,85,100.0
SRD86,86,100.0
SRD87,87,100.0
SRD88,88,100.0
SRD89,89,100.0
SRD90,90,100.0
SRD91,91,100.0
SRD92,92,100.0
